Feature,Importance
diagnosis,1.0
area3,0.15389236463205394
concave_points3,0.14466326620735528
concave_points1,0.10620998844591638
radius3,0.07798687515738047
concavity1,0.06800084191430111
perimeter3,0.06711483267839194
perimeter1,0.053269746128179675
radius1,0.048703371737755234
area1,0.04755500886018552
concavity3,0.031801595740040434
area2,0.022406960160458473
texture3,0.021749011006763207
compactness3,0.020266035899623565
radius2,0.02013891719419153
compactness1,0.013944325074050485
texture1,0.013590877656998469
perimeter2,0.01130301388178435
smoothness3,0.010644205147280952
symmetry3,0.010120176131974357
concavity2,0.009385832251596627
smoothness1,0.007285327830663239
fractal_dimension2,0.00532145634222884
compactness2,0.005253215538990106
fractal_dimension3,0.005210118545497296
texture2,0.004723988073894702
smoothness2,0.004270910110504497
symmetry2,0.004018418617722808
fractal_dimension1,0.0038857721093275
symmetry1,0.003770291819290666
concave_points2,0.003513255105598506
